Term of Loan in Years|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50
03/13/2017|3.47|3.31|3.33|3.33|3.39|3.39|3.65|3.65|3.79|3.79|3.79|3.79|3.49|3.49|3.49|3.49|3.49|3.49|3.49|3.49|3.49|3.49|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25
03/20/2017|3.5|3.35|3.36|3.36|3.44|3.44|3.69|3.69|3.84|3.84|3.84|3.84|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34
03/27/2017|3.51|3.32|3.32|3.32|3.4|3.4|3.64|3.64|3.78|3.78|3.78|3.78|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27
04/03/2017|3.51|3.29|3.29|3.29|3.34|3.34|3.58|3.58|3.72|3.72|3.72|3.72|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18
04/10/2017|3.42|3.23|3.3|3.3|3.35|3.35|3.59|3.59|3.75|3.75|3.75|3.75|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.43|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14
04/17/2017|3.41|3.23|3.3|3.3|3.34|3.34|3.58|3.58|3.73|3.73|3.73|3.73|3.41|3.41|3.41|3.41|3.41|3.41|3.41|3.41|3.41|3.41|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12
04/24/2017|3.41|3.18|3.23|3.23|3.26|3.26|3.49|3.49|3.65|3.65|3.65|3.65|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01
05/01/2017|3.41|3.22|3.26|3.26|3.28|3.28|3.52|3.52|3.68|3.68|3.68|3.68|3.33|3.33|3.33|3.33|3.33|3.33|3.33|3.33|3.33|3.33|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07
05/08/2017|3.41|3.31|3.27|3.27|3.33|3.33|3.56|3.56|3.72|3.72|3.72|3.72|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06
05/15/2017|3.42|3.34|3.28|3.28|3.34|3.34|3.57|3.57|3.73|3.73|3.73|3.73|3.36|3.36|3.36|3.36|3.36|3.36|3.36|3.36|3.36|3.36|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09
05/22/2017|3.42|3.33|3.25|3.25|3.33|3.33|3.55|3.55|3.71|3.71|3.71|3.71|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06
05/29/2017|3.42|3.19|3.22|3.22|3.23|3.23|3.46|3.46|3.61|3.61|3.61|3.61|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99
06/05/2017|3.42|3.28|3.22|3.22|3.31|3.31|3.52|3.52|3.67|3.67|3.67|3.67|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98
06/12/2017|3.41|3.31|3.24|3.24|3.31|3.31|3.51|3.51|3.66|3.66|3.66|3.66|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93
06/19/2017|3.41|3.33|3.28|3.28|3.35|3.35|3.53|3.53|3.68|3.68|3.68|3.68|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95
06/26/2017|3.23|3.22|3.27|3.27|3.34|3.34|3.51|3.51|3.64|3.64|3.64|3.64|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94
07/03/2017|3.23|3.23|3.28|3.28|3.37|3.37|3.54|3.54|3.67|3.67|3.67|3.67|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92
07/10/2017|3.23|3.24|3.31|3.31|3.41|3.41|3.61|3.61|3.73|3.73|3.73|3.73|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01
07/17/2017|3.23|3.24|3.33|3.33|3.48|3.48|3.69|3.69|3.84|3.84|3.84|3.84|3.36|3.36|3.36|3.36|3.36|3.36|3.36|3.36|3.36|3.36|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07
07/24/2017|3.23|3.23|3.29|3.29|3.41|3.41|3.62|3.62|3.76|3.76|3.76|3.76|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01
07/31/2017|3.23|3.23|3.27|3.27|3.38|3.38|3.58|3.58|3.73|3.73|3.73|3.73|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96
08/07/2017|3.23|3.2|3.25|3.25|3.35|3.35|3.57|3.57|3.72|3.72|3.72|3.72|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97
08/14/2017|3.23|3.2|3.26|3.26|3.34|3.34|3.55|3.55|3.69|3.69|3.69|3.69|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94
08/21/2017|3.23|3.19|3.19|3.19|3.32|3.32|3.54|3.54|3.68|3.68|3.68|3.68|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89
08/28/2017|3.23|3.18|3.24|3.24|3.37|3.37|3.56|3.56|3.7|3.7|3.7|3.7|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9
09/04/2017|3.23|3.2|3.23|3.23|3.34|3.34|3.54|3.54|3.68|3.68|3.68|3.68|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86
09/11/2017|3.23|3.18|3.16|3.16|3.31|3.31|3.52|3.52|3.65|3.65|3.65|3.65|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82
09/18/2017|3.23|3.17|3.15|3.15|3.29|3.29|3.49|3.49|3.63|3.63|3.63|3.63|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82
09/25/2017|3.2|3.18|3.18|3.18|3.33|3.33|3.52|3.52|3.65|3.65|3.65|3.65|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87
10/02/2017|3.19|3.2|3.26|3.26|3.4|3.4|3.57|3.57|3.69|3.69|3.69|3.69|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88
10/09/2017|3.19|3.21|3.2|3.2|3.34|3.34|3.53|3.53|3.66|3.66|3.66|3.66|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89
10/16/2017|3.16|3.14|3.15|3.15|3.32|3.32|3.51|3.51|3.64|3.64|3.64|3.64|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95
10/23/2017|3.16|3.18|3.18|3.18|3.33|3.33|3.48|3.48|3.59|3.59|3.59|3.59|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92
10/30/2017|3.15|3.2|3.18|3.18|3.37|3.37|3.54|3.54|3.66|3.66|3.66|3.66|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98
11/06/2017|3.15|3.2|3.27|3.27|3.43|3.43|3.59|3.59|3.7|3.7|3.7|3.7|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98
11/13/2017|3.16|3.19|3.26|3.26|3.42|3.42|3.55|3.55|3.65|3.65|3.65|3.65|3.31|3.31|3.31|3.31|3.31|3.31|3.31|3.31|3.31|3.31|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93
11/20/2017|3.2|3.23|3.23|3.23|3.37|3.37|3.52|3.52|3.6|3.6|3.6|3.6|3.38|3.38|3.38|3.38|3.38|3.38|3.38|3.38|3.38|3.38|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99
11/27/2017|3.2|3.24|3.24|3.24|3.38|3.38|3.51|3.51|3.57|3.57|3.57|3.57|3.38|3.38|3.38|3.38|3.38|3.38|3.38|3.38|3.38|3.38|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96
12/04/2017|3.21|3.19|3.29|3.29|3.44|3.44|3.58|3.58|3.65|3.65|3.65|3.65|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94
12/11/2017|3.18|3.16|3.31|3.31|3.47|3.47|3.57|3.57|3.62|3.62|3.62|3.62|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98
12/18/2017|3.18|3.14|3.3|3.3|3.48|3.48|3.59|3.59|3.65|3.65|3.65|3.65|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.43|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97
12/25/2017|3.19|3.18|3.31|3.31|3.51|3.51|3.63|3.63|3.69|3.69|3.69|3.69|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98
01/01/2018|3.25|3.26|3.39|3.39|3.59|3.59|3.68|3.68|3.74|3.74|3.74|3.74|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03
01/08/2018|3.25|3.32|3.35|3.35|3.61|3.61|3.7|3.7|3.73|3.73|3.73|3.73|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.45|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99
01/15/2018|3.24|3.37|3.4|3.4|3.62|3.62|3.72|3.72|3.76|3.76|3.76|3.76|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03
01/22/2018|3.24|3.31|3.42|3.42|3.58|3.58|3.67|3.67|3.7|3.7|3.7|3.7|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09
01/29/2018|3.25|3.45|3.49|3.49|3.68|3.68|3.77|3.77|3.81|3.81|3.81|3.81|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19|4.19
02/05/2018|3.27|3.46|3.5|3.5|3.69|3.69|3.79|3.79|3.82|3.82|3.82|3.82|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26|4.26
02/12/2018|3.32|3.46|3.55|3.55|3.73|3.73|3.87|3.87|3.92|3.92|3.92|3.92|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37|4.37
02/19/2018|3.37|3.46|3.58|3.58|3.79|3.79|3.95|3.95|4.01|4.01|4.01|4.01|3.91|3.91|3.91|3.91|3.91|3.91|3.91|3.91|3.91|3.91|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43
02/26/2018|3.39|3.55|3.61|3.61|3.81|3.81|3.94|3.94|3.98|3.98|3.98|3.98|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44
03/05/2018|3.39|3.51|3.58|3.58|3.78|3.78|3.9|3.9|3.94|3.94|3.94|3.94|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47|4.47
03/12/2018|3.41|3.52|3.6|3.6|3.79|3.79|3.91|3.91|3.94|3.94|3.94|3.94|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.01|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5
03/19/2018|3.4|3.56|3.64|3.64|3.83|3.83|3.94|3.94|3.98|3.98|3.98|3.98|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48
03/26/2018|3.4|3.59|3.65|3.65|3.84|3.84|3.93|3.93|3.97|3.97|3.97|3.97|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|3.98|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49
04/02/2018|3.4|3.55|3.61|3.61|3.82|3.82|3.91|3.91|3.94|3.94|3.94|3.94|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|3.97|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48
