Date,3-Year ARM Rates,5-Year ARM Rates,7-Year ARM Rates,10-Year ARM Rates,10-Year Fixed Rates,15-Year Fixed Rates,20-Year Fixed Rates,30-Year Fixed Rates,3-Year ARM Points & Fees,5-Year ARM Points & Fees,7-Year ARM Points & Fees,10-Year ARM Points & Fees,10-Year Fixed Points & Fees,15-Year Fixed Points & Fees,20-Year Fixed Points & Fees,30-Year Fixed Points & Fees,3-Year ARM Fully Indexed Rates,5-Year ARM Fully Indexed Rates,7-Year ARM Fully Indexed Rates,10-Year ARM Fully Indexed Rates
2025-11-27,5.630434783,5.608578412,5.201667392,5.843051314,5.565319387,5.529597896,5.813859612,6.109917768,0.172253321,0.32283335,0.677007949,0.321743444,1.149356911,1.002987416,0.788983797,0.826830662,6.967478261,7.020013496,6.937297021,6.920468899
2025-12-04,5.630434783,5.59871595,5.33844443,5.869463289,5.455437154,5.544164394,5.786506855,6.141679994,0.139891873,0.322743452,0.569326773,0.231175609,1.275062309,1.022608865,0.623091318,0.841627289,6.953086957,6.981259075,6.899107179,6.887231827
2025-12-11,5.645833333,5.542058691,5.28381306,5.867571376,5.539809455,5.587792311,5.854836899,6.179061178,0.12610435,0.269744053,0.806640757,0.117271451,1.099213058,1.139627971,0.662389524,0.912735443,6.947722222,6.932840991,6.895419494,6.904171238
2025-12-18,5.725,5.586797186,5.195672532,5.733354662,5.475438703,5.570673024,5.843408315,6.169806186,0.204932721,0.263952813,0.901291587,0.175771169,1.144438903,0.989444868,0.774623483,0.865863418,6.91555,6.920223319,6.828626196,6.893712514
2025-12-25,5.861111111,5.570850794,5.476949861,5.720399727,5.485557226,5.51492274,5.780570329,6.104185265,0.311504421,0.264240612,0.553357378,0.234445016,1.182821225,1.136943598,0.834460983,0.834934459,6.8855,6.889112656,6.820175723,6.87031349
2026-01-01,5.911764706,5.558551587,5.391962342,5.733722727,5.480984151,5.445391033,5.776444658,6.116395044,0.279804119,0.283142483,1.010819147,0.278496646,1.151235726,1.070446788,0.723143494,0.805518258,6.798823529,6.858333646,6.674739109,6.821247672
2026-01-08,5.840277778,5.504634631,5.334813041,5.746854924,5.473306768,5.442928782,5.857559425,6.090201501,0.236704947,0.294811339,0.724045675,0.361421083,1.237336582,0.951021111,0.851836373,0.817432563,6.774555556,6.807984631,6.642270261,6.774072222
2026-01-15,5.830882353,5.412863367,5.085846026,5.773281573,5.396927583,5.358323457,5.813510872,5.98728692,0.215099917,0.318954323,0.888754951,0.56318335,0.942295944,0.935716682,0.87982513,0.79162233,6.732882353,6.699934539,6.635393508,6.589793341
2026-01-22,5.86666666666667,5.445084754027521,5.181361917019297,5.658430274662192,5.27540297643054,5.463713702652887,5.747418811364525,6.062769262420226,0.22304848098969368,0.3148335892816742,0.5983083461527383,0.791115633406889,1.0969913097346802,0.9442189936393024,0.8049224765473352,0.8470796930783605,6.690533333333335,6.624479873903774,6.609431215063255,6.567121676234213
2026-01-29,5.880227272727274,5.42966718564229,5.210292790582678,5.742489503966183,5.2882381261374825,5.4469123760711735,5.748651977076923,6.022570875922833,0.3722662039461988,0.29627708238656475,0.7187115332155882,0.6501587318137358,1.0897765199383191,0.9499701337210236,0.7554429027200391,0.7889643363097336,6.642045454545454,6.589219232293474,6.587605427422977,6.549014831437218
2026-02-05,5.954713375796178,5.444543330119612,5.339481432188142,5.742528324232751,5.360550824786016,5.460708979867051,5.762345066805216,6.045478122689411,0.4222063399889298,0.2855576604460318,0.8870991262687264,0.4654659659888927,0.9750816810729566,0.9864229699683664,0.8202583572626355,0.8482083629305142,6.6394777070063675,6.577029119145643,6.542473602054998,6.528713058534059
2026-02-12,5.854324243630574,5.450654037973576,5.386418755728795,5.778227059966442,5.45355125233762,5.41981360084798,5.766522529704197,6.0248397511639595,0.3329382794712973,0.2856376902688745,0.5668563372869608,0.3766311181324565,0.9191995093527656,0.6972825745501467,0.8990335161674069,0.7945572861323422,6.6096994426751605,6.577648525680291,6.553764921554493,6.524057224233865
2026-02-19,5.8460000692329,5.433455820197421,5.186538404036646,5.730426649251734,5.511364073352828,5.304846073306512,5.67863042720373,5.918711370750675,0.3418399990833674,0.2685263003654275,0.5877796501136537,0.3210978960118984,1.019113821807894,1.0109955247774784,0.7592314833183813,0.7770426590665241,6.60143298255331,6.570122212302738,6.5692193359496835,6.526106956239973
2026-02-26,5.66421178343949,5.418509531824391,5.1619080862977755,5.695646058422202,5.455096811713194,5.387084709079135,5.6635207167101145,5.905094889114657,0.22995560955200603,0.23977665701425172,0.80863459553867445,0.19870346045804188,0.844077550861817,0.9435283141078464,0.7305008499248808,0.7855510519917774,6.595092356687899,6.583280483645979,6.569329197679996,6.534806594235785
2026-03-05,5.472222222222222,5.40341935400706,5.216091335086711,5.5844867569566,5.399503694581281,5.4294549950132485,5.613220732048545,5.945441807527489,0.15798414151833906,0.2494427462317377,0.4704310054919684,0.2568361063217173,1.1342355719867447,0.985041546390311,0.6856254624682747,0.8248915629093978,6.611055555555556,6.591955052337952,6.581291865427727,6.522042174785661
2026-03-12,5.425000000000002,5.378793417041709,5.401469036061612,5.594880670945972,5.455568426724142,5.476604609623883,5.653940811299245,6.037537265112866,0.12169554935550368,0.27028229893653893,0.6686546695426759,0.3090396280163653,1.0294186481375829,0.8773497689569775,0.7746865440621767,0.8686163897688737,6.634266666666669,6.591827111504685,6.5715027688729455,6.536287367648937
2026-03-19,5.46590909090909,5.441120274391664,5.4145651575136435,5.5927471938043265,5.457745902562664,5.557516709055889,5.812206564588925,6.143646334489508,0.1474592821495688,0.26971783366295315,0.6516294320898947,0.3677947109247764,1.0784543328094989,1.0785311260665305,0.9951888550772486,0.8544317750898318,6.670636363636363,6.616326354977871,6.555766368159534,6.544707540593729
2026-03-26,5.602941176470586,5.51928814999102,5.541591166065972,5.587861031944352,5.450901607466942,5.715179982890756,5.887572706173291,6.336285887615799,0.2518358040563336,0.3025898607266011,0.7953649449686232,0.6241244342644678,1.3791751825778629,1.0097411913457066,0.8068024432666127,0.9327908365242044,6.636647058823528,6.590120614181117,6.556883739489293,6.53277781184575
2026-04-02,5.406608280254777,5.569925358330247,5.481677010379278,5.6236244768569055,5.667534587186354,5.725056015917682,5.852292634952356,6.33904248298309,0.1992621481831826,0.3392618241237357,0.7237035575981847,0.5879696171399983,1.366094664603008,1.0486297581192736,0.7531082556478003,0.8969536067244953,6.594445632393083,6.5693036878526785,6.555118653982476,6.533725200999918
2026-04-09,5.465839416058394,5.617562111988954,5.5364719545078325,5.708483077401457,5.721292201572369,5.718462787073228,5.881690026692284,6.290499699608613,0.19061476844650724,0.35411925771389363,0.7749589334000648,0.5076422991341838,1.3364843182554995,0.8548526290637378,0.7609329095771656,0.8803816779391345,6.581067153284671,6.554949896853736,6.53148440137283,6.530424091356406
2026-04-16,5.436482664233576,5.6465402390577335,5.444310968762401,5.710335694156588,5.84212385057471,5.620053431982065,5.908115334477646,6.22298800793289,0.1709655968638861,0.3517339000676618,0.7218753473302828,0.6654928889918955,1.3741078398716264,1.1104699239412916,0.9743850990584184,0.7835012589156156,6.572275729927006,6.519539802107433,6.510475960249558,6.521892210774304
2026-04-23,5.445183885457609,5.615051685588521,5.300881610913838,5.754290475583703,5.669041606800769,5.55892569063585,5.841478020501181,6.181543418359724,0.16562168299556024,0.3127017401984155,0.7600282514634924,0.46747469449178025,1.2775600932056903,0.8850829359220186,0.8385848620178319,0.7976661349022868,6.5596681639528365,6.516713541171155,6.558260574347453,6.499123501301791
2026-04-30,5.451058394160584,5.6290891121936255,5.447244157138574,5.70854265040605,5.605277794149432,5.6771775306452374,5.929485305220411,6.243250602184317,0.15953512903247952,0.3006810046264155,0.8265885872428761,0.4464207629046008,1.2659939245066911,0.9516511889627812,0.7658284357929166,0.8460916390356543,6.565959124087591,6.524936743412609,6.5402526404014125,6.498177413598731
2026-05-07,5.434709688122097,5.615406752123147,5.473537005442422,5.735666553748242,5.575385028420978,5.726367516673526,5.995557845724822,6.331915979754482,0.1629387750950386,0.3132982432264719,0.7082405381418717,0.369071907124785,1.2398461296871264,0.8493075953491147,0.868508241862547,0.8345552719007364,6.557153218314532,6.532753577038076,6.531709891241919,6.499883236986449
2026-05-14,5.525736464968153,5.630367006296017,5.497016938978826,5.73162843953975,5.533703902951267,5.781960530177097,6.029780548551901,6.337194130085987,0.17757362951177433,0.32485847088308323,0.9100484208169356,0.314541678782954,1.2887123184534603,0.7604957945755485,0.9525134870256452,0.834129516142394,6.5648065286624195,6.537022541697404,6.526570753741938,6.523295977294721
2026-05-21,5.531802919708029,5.683719363728472,5.544942899640671,5.792608824841854,5.593635491358707,5.911867974840486,6.130944609327667,6.511143625071436,0.18191992737413903,0.34207532830247733,0.9800819452463984,0.34395375091377073,1.4172804800428027,1.1564804552557857,0.956138211486117,0.954980308038788,6.565122627737225,6.521503182796681,6.516743178165096,6.491741621153044
2026-05-28,5.544189781021897,5.706254061021377,5.6819416409494945,5.869058923042124,5.756394486350565,5.828888658982979,6.142030047382275,6.437516138537413,0.1751162448787926,0.38203796809293367,0.6263443983695279,0.3757919233486321,1.1843767186891847,0.9813571424738003,1.0819887679398184,0.8394197278738159,6.5585113419427286,6.501424508479506,6.47509880754555,6.509502382319167
2026-06-04,5.731466666666667,5.715643008480422,5.545415303495129,5.926722638616865,5.658374163364959,5.860660294684584,6.10256579580292,6.427421141658797,0.13867787378263027,0.34063841462056343,0.7971082128990153,0.5898279541773034,1.453747462854323,1.0391875005538835,0.9307368189197548,0.869749220688593,6.538706666666667,6.486093679183584,6.480337530427869,6.495787348146142
2026-06-11,5.604176485922836,5.7514518406888655,5.581207818164693,5.999184077182748,5.766427792221612,5.891547854917364,6.145135587146084,6.48868278092206,0.15003233222520482,0.32314363392068196,1.1541981187671584,0.6856749668799497,1.337071890148021,0.9282802640794982,0.8194502722442178,0.8483436398824709,6.532763242961417,6.484938322452153,6.485693423549786,6.482105936550567
2026-06-18,5.6419276365466935,5.758076749739426,5.6069351389593525,5.99869784491007,5.753250781827982,5.810280506567598,6.1526539154742235,6.411921067688832,0.24634552231476237,0.31314192394811724,0.7514578785306759,0.6671733607286915,1.265697598682444,0.99408466326534,0.8289652091888218,0.8115565636064386,6.528744928265796,6.482681697085944,6.4915876421630205,6.4781510188178615
2026-06-25,5.875586956521742,5.762945616054222,5.630769690489775,5.987312359373393,5.799659217135138,5.850629659569861,6.045251212000596,6.442743042901154,0.30456281802009183,0.30724725703301875,0.8795690387261069,0.6028661593246523,1.328305031175988,1.0609222903787845,0.91141646509507,0.842516898452729,6.543276086956523,6.502662314341503,6.540383453276508,6.464089699047089
2026-07-02,5.740887193098873,5.743837422121222,5.513885140224763,5.936795732543803,5.6975998221127515,5.825600878261519,6.049324325744059,6.405603164253209,0.2490928101953174,0.2628363597161666,0.7868003134297641,0.6923717393910178,1.238702519591023,0.9912419319502348,0.8382999107062815,0.8383646132495284,6.536922362309223,6.516171827607329,6.526307401060197,6.486609233992917
2026-07-09,5.75105806237558,5.752299197996968,5.513263930628444,5.9096148597671005,5.735101772030649,5.8804230556111206,6.09279696395058,6.447910545037769,0.35204011347575287,0.2918156878812499,0.7561387054168489,0.5375115765894883,1.168812892069807,0.9831446620374034,0.6197220681277177,0.9023148626419408,6.5384824817518234,6.532545105194324,6.516858760086931,6.482069929473518
2026-07-16,5.7765625,5.762303717426979,5.549638972346396,5.928688786455203,5.729350721323015,5.935514477704396,6.0730269550848,6.522168020871782,0.35811874729431603,0.32688837083819544,1.017506615052374,0.5099804700217452,0.9444846949229776,1.0428198837862372,0.8801449427700286,0.9241069696754654,6.566225,6.5408945990445675,6.502397891120263,6.448205625432676
2026-07-23,5.813840328467154,5.76973205220151,5.7714675177007795,5.94974632221293,5.852353741684562,5.950133081239002,6.173261694968924,6.549929714376571,0.3840102735481956,0.34441508180390895,0.6597801856073559,0.6034221038425926,1.2074142976636388,1.0757119477454715,0.7051021206348584,0.9235671659934296,6.528030839416058,6.531876193466763,6.507918475270952,6.447313184890336
2026-07-30,5.777125,5.833087676575931,5.709722427686579,6.0026726211599435,6.006060664266475,6.023713991706561,6.195042777931852,6.588133369845192,0.29251699145367244,0.3784481248367116,0.971128236645529,0.5822355229584517,1.1940471333399767,1.0880704800818533,0.8869976911638614,0.9761040244241594,6.558075,6.537905658847411,6.535228586714052,6.459936408864779
2026-08-06,5.857142857142857,5.862113461141049,5.639234272946701,6.094228008149304,6.047864883783468,5.999010341252906,6.217004649558853,6.632710811968319,0.1549742770458913,0.3993532422362367,1.1218345998265804,0.5625194983498252,1.0280444253181054,1.0100503353273482,1.0026552303556011,0.9294723322777672,6.541142857142854,6.526611416630285,6.488724627474797,6.47850265775197
2026-08-13,5.835227272727271,5.872679852044104,5.561021971669303,6.068439596126006,6.035614307899883,6.03440507670458,6.279355172668313,6.62071016832538,0.12777823404411282,0.408500135835643,0.9757543246275692,0.654417900326718,1.180945554588105,0.9429184403525654,0.8411710086783442,0.9138367925054054,6.557181818181817,6.51770680456511,6.536588370228624,6.4907183723662785
2026-08-20,5.81521739130435,5.87267700416309,5.710317980779571,6.055727779109515,6.058032313591572,6.01303101405499,6.245175076016651,6.635374510184778,0.13964067571831365,0.4901151804462488,0.5393601749513183,0.6527317650087079,1.039315778585964,1.0735683016305249,0.7084532707964452,0.8389013846122975,6.525434782608698,6.506377621755917,6.518475647146086,6.502445552457483
2026-08-27,5.828947368421052,5.880729832777107,5.769542949370238,6.056249217520406,6.062709042865878,5.987249266291003,6.229235273885866,6.625124168433741,0.14836701091668858,0.42178487893440575,1.0158763818131016,0.5555889696571742,1.1443712758660252,1.096288885245975,0.8355276687137158,0.8455173375931332,6.5566315789473695,6.516365971364745,6.512604186260879,6.503418351040728
2026-09-03,5.785576923076923,5.8540428016471155,5.739252606015525,6.084223647130572,6.028218336889822,6.084056990700514,6.319757120890494,6.691801105265957,0.150388766267478,0.4792275315636325,1.0298485990286144,0.545199528044509,1.1909404241924475,1.038378812214294,0.8920147110378528,0.9484637332393624,6.550592307692307,6.541359271475326,6.531014142127516,6.512198711657562
2026-09-10,5.827272727272727,5.87551094988568,5.890752365359163,6.108039515660944,6.014534499178981,6.161754241291312,6.340270187603711,6.741683926273961,0.1440338588436197,0.5435400145447449,1.0279598725410346,0.48064603891578633,1.3134162631444302,1.1362145657773024,1.02368133235788,0.9981893477467794,6.539345454545453,6.556826916659474,6.515331711585967,6.5193295687810995
